Date,Time,Latitude,Longitude,Altitude,Speed
2013-11-21,09:50:04,-33.97936,18.8415,136,0
2013-11-21,09:53:34,-33.97933,18.8415,133,2
2013-11-21,09:53:52,-33.97933,18.84147,133,2
2013-11-21,09:53:53,-33.97933,18.84147,133,5
2013-11-21,09:53:58,-33.97922,18.84153,132,7
2013-11-21,09:54:31,-33.97928,18.84153,130,0
2013-11-21,10:41:24,-33.97922,18.84147,137,0
2013-11-21,10:42:23,-33.97931,18.84147,139,0
2013-11-21,10:43:06,-33.97925,18.8415,139,0
2013-11-21,10:43:16,-33.97928,18.84153,139,0
2013-11-21,10:43:41,-33.97931,18.84153,140,0
2013-11-21,10:45:24,-33.97931,18.8415,145,0
2013-11-21,10:49:51,-33.97931,18.84153,146,0
2013-11-21,10:51:59,-33.97933,18.84153,147,0
2013-11-21,10:54:43,-33.97936,18.84144,144,2
2013-11-21,10:54:56,-33.97936,18.84144,142,3
2013-11-21,10:54:59,-33.97933,18.84144,141,7
2013-11-21,10:55:00,-33.97931,18.84142,141,5
2013-11-21,10:55:06,-33.97925,18.84133,140,7
2013-11-21,10:55:08,-33.97919,18.84133,139,7
2013-11-21,10:55:09,-33.97917,18.84136,139,8
2013-11-21,10:55:15,-33.97908,18.84142,142,8
2013-11-21,10:55:17,-33.97903,18.84139,143,10
2013-11-21,10:55:18,-33.979,18.84133,143,12
2013-11-21,10:55:42,-33.97875,18.84086,134,9
2013-11-21,10:55:44,-33.97869,18.84086,134,11
2013-11-21,10:55:48,-33.97856,18.84086,132,17
2013-11-21,10:55:51,-33.97842,18.84092,131,19
2013-11-21,10:55:59,-33.978,18.84114,130,25
2013-11-21,10:56:15,-33.97714,18.84144,128,15
2013-11-21,10:56:27,-33.97664,18.84217,127,27
2013-11-21,10:56:36,-33.97636,18.84275,124,24
2013-11-21,10:56:52,-33.97569,18.84325,121,12
2013-11-21,10:56:54,-33.97561,18.84319,121,15
2013-11-21,10:56:56,-33.97558,18.84311,120,21
2013-11-21,10:57:15,-33.97514,18.84225,114,0
2013-11-21,10:57:35,-33.97492,18.84194,113,14
2013-11-21,10:57:37,-33.97486,18.84192,113,15
2013-11-21,10:57:39,-33.97478,18.84192,112,15
2013-11-21,10:58:53,-33.96619,18.84569,125,61
2013-11-21,11:01:04,-33.9555,18.85539,120,51
2013-11-21,11:01:21,-33.95319,18.85567,119,61
2013-11-21,11:02:52,-33.94744,18.85364,100,47
2013-11-21,11:04:39,-33.9405,18.85183,97,0
2013-11-21,11:06:38,-33.93672,18.85144,98,36
2013-11-21,11:07:02,-33.93444,18.85228,99,23
2013-11-21,11:07:04,-33.93436,18.85225,99,19
2013-11-21,11:07:05,-33.93433,18.85219,99,20
2013-11-21,11:07:07,-33.93428,18.85208,100,20
2013-11-21,11:07:15,-33.93411,18.85153,99,26
2013-11-21,11:07:17,-33.934,18.85144,99,26
2013-11-21,11:07:19,-33.93386,18.85142,99,28
2013-11-21,11:07:55,-33.93133,18.85183,98,36
2013-11-21,11:08:41,-33.92708,18.85128,100,30
2013-11-21,11:10:25,-33.92081,18.85306,106,24
2013-11-21,11:10:28,-33.92061,18.853,106,25
2013-11-21,11:11:21,-33.91817,18.85083,123,12
2013-11-21,11:11:23,-33.91811,18.85078,124,14
2013-11-21,11:11:27,-33.91808,18.85061,124,13
2013-11-21,11:11:35,-33.91792,18.85039,127,11
2013-11-21,11:11:36,-33.91792,18.85036,127,11
2013-11-21,11:11:37,-33.91792,18.85033,127,11
2013-11-21,11:11:39,-33.91797,18.85028,128,12
2013-11-21,11:12:43,-33.91856,18.84981,132,4
2013-11-21,11:12:47,-33.91861,18.84981,132,5
2013-11-21,11:12:50,-33.91864,18.84983,132,6
2013-11-21,11:12:55,-33.91869,18.84992,131,6
